manual_keys,index_column,en,cs,fr,de,generated_keys,best_match_performed,best_match_found,en_copy,best_match_matchedTranslation,best_match_rating,best_match_keys,best_match_in_not_found
,1,Welcome to TopLeader,Vítejte v TopLeader,Bienvenu chez Topleader,Herzlich Willkommen bei TopLeader,auth.unauthorized.title,,,Welcome to TopLeader,,,,
,2,Please enter your details,Zadejte své údaje,Veuillez saisir vos identifiants,Geben Sie Ihre Zugangsdaten ein,auth.unauthorized.perex|feedback.external.request-access-modal.desc,,,Please enter your details,,,,
,3,Password,Heslo,Mot de passe,Passwort,auth.login.password.label|settings.general.password,,,Password,,,,
,4,Forgot password,Zapomenuté heslo,Mot de passe oublié,Passwort vergessen,auth.forgot-pass.title|auth.login.forgot,,,Forgot password,,,,
auth.login.login,5,Log in,Přihlásit se,Connexion,Anmelden,,Performed,Found,Log in,Log In,0.5,"auth.login.login,auth.password-changed.login",
,6,Sign in with Google,Přihlaste se s Googlem,Connectez-vous avec Google,Mit Google fortfahren,auth.login.google,,,Sign in with Google,,,,
,7,Sign in with Microsoft,Přihlaste se s Microsoft,Connectez-vous avec Microsoft,Mit Microsoft fortfahren ,auth.login.microsoft,,,Sign in with Microsoft,,,,
,8,Dashboard,Přehled,Tableau de bord,Übersicht,main-menu.items.dashboard,,,Dashboard,,,,
main-menu.items.sessions|sessions.heading,9,Sessions,Osobní rozvoj,Sessions,Persönliche Entwicklung,main-menu.items.sessions|sessions.heading,,,Sessions,,,,
,10,Coaches,Koučové,Formateurs,Coach,coaches.heading|main-menu.items.coaches,,,Coaches,,,,
main-menu.items.getFeedback,11,Get feedback,Získat zpětnou vazbu,Obtenir un retour,Rückmeldung erhalten,dashboard.cards.feedback.title|main-menu.items.getFeedback,,,Get feedback,,,,
dashboard.cards.feedback.title,11,Get feedback,Zpětná vazba,Obtenir un retour,Rückmeldung erhalten,dashboard.cards.feedback.title|main-menu.items.getFeedback,,,Get feedback,,,,
,12,Settings,Nastavení,Paramètres,Einstellungen,main-menu.items.settings|settings.heading,,,Settings,,,,
,13,Help,Pomoc,Aide,Hilfe,main-menu.items.help,,,Help,,,,
